year_month;uf;product;unit;volume;created_at
'2013MAI;PARAÍBA;ÓLEO DIESEL S-10;m3;4308;2023-10-20 14:46:16.368086'
'2013JUN;PARAÍBA;ÓLEO DIESEL S-10;m3;3961,5;2023-10-20 14:46:16.368086'
'2013JUL;PARAÍBA;ÓLEO DIESEL S-10;m3;5212,49;2023-10-20 14:46:16.368086'
'2013AGO;PARAÍBA;ÓLEO DIESEL S-10;m3;5931;2023-10-20 14:46:16.368086'
'2013SET;PARAÍBA;ÓLEO DIESEL S-10;m3;6035,96;2023-10-20 14:46:16.368086'
'2013OUT;PARAÍBA;ÓLEO DIESEL S-10;m3;6856,99;2023-10-20 14:46:16.368086'
'2013NOV;PARAÍBA;ÓLEO DIESEL S-10;m3;7049,5;2023-10-20 14:46:16.368086'
'2013DEZ;PARAÍBA;ÓLEO DIESEL S-10;m3;7267,97;2023-10-20 14:46:16.368086'
'2013JAN;PERNAMBUCO;ÓLEO DIESEL S-10;m3;94832,55;2023-10-20 14:46:16.368086'
'2013FEV;PERNAMBUCO;ÓLEO DIESEL S-10;m3;69172,759;2023-10-20 14:46:16.368086'
'2013MAR;PERNAMBUCO;ÓLEO DIESEL S-10;m3;76060,5;2023-10-20 14:46:16.368086'
'2013ABR;PERNAMBUCO;ÓLEO DIESEL S-10;m3;73727,45;2023-10-20 14:46:16.368086'
'2013MAI;PERNAMBUCO;ÓLEO DIESEL S-10;m3;57373,929;2023-10-20 14:46:16.368086'
'2013JUN;PERNAMBUCO;ÓLEO DIESEL S-10;m3;49852,099;2023-10-20 14:46:16.368086'
'2013JUL;PERNAMBUCO;ÓLEO DIESEL S-10;m3;56364,687;2023-10-20 14:46:16.368086'
'2013AGO;PERNAMBUCO;ÓLEO DIESEL S-10;m3;58276,961;2023-10-20 14:46:16.368086'
'2013SET;PERNAMBUCO;ÓLEO DIESEL S-10;m3;58177,23;2023-10-20 14:46:16.368086'
'2013OUT;PERNAMBUCO;ÓLEO DIESEL S-10;m3;66354,85;2023-10-20 14:46:16.368086'
'2013NOV;PERNAMBUCO;ÓLEO DIESEL S-10;m3;66082,208;2023-10-20 14:46:16.368086'
'2013DEZ;PERNAMBUCO;ÓLEO DIESEL S-10;m3;64451,12;2023-10-20 14:46:16.368086'
'2013JAN;ALAGOAS;ÓLEO DIESEL S-10;m3;4078;2023-10-20 14:46:16.368086'
'2013FEV;ALAGOAS;ÓLEO DIESEL S-10;m3;3535,5;2023-10-20 14:46:16.368086'
'2013MAR;ALAGOAS;ÓLEO DIESEL S-10;m3;4124;2023-10-20 14:46:16.368086'
'2013ABR;ALAGOAS;ÓLEO DIESEL S-10;m3;3771;2023-10-20 14:46:16.368086'
'2013MAI;ALAGOAS;ÓLEO DIESEL S-10;m3;4072,003;2023-10-20 14:46:16.368086'
'2013JUN;ALAGOAS;ÓLEO DIESEL S-10;m3;4019;2023-10-20 14:46:16.368086'
'2013JUL;ALAGOAS;ÓLEO DIESEL S-10;m3;4852,5;2023-10-20 14:46:16.368086'
'2013AGO;ALAGOAS;ÓLEO DIESEL S-10;m3;5242;2023-10-20 14:46:16.368086'
'2013SET;ALAGOAS;ÓLEO DIESEL S-10;m3;5214,57;2023-10-20 14:46:16.368086'
'2013OUT;ALAGOAS;ÓLEO DIESEL S-10;m3;6391,064;2023-10-20 14:46:16.368086'
'2013NOV;ALAGOAS;ÓLEO DIESEL S-10;m3;6769;2023-10-20 14:46:16.368086'
'2013DEZ;ALAGOAS;ÓLEO DIESEL S-10;m3;6733;2023-10-20 14:46:16.368086'
'2013JAN;SERGIPE;ÓLEO DIESEL S-10;m3;4191,5;2023-10-20 14:46:16.368086'
'2013FEV;SERGIPE;ÓLEO DIESEL S-10;m3;3978,6;2023-10-20 14:46:16.368086'
'2013MAR;SERGIPE;ÓLEO DIESEL S-10;m3;4921,6;2023-10-20 14:46:16.368086'
'2013ABR;SERGIPE;ÓLEO DIESEL S-10;m3;5369,1;2023-10-20 14:46:16.368086'
'2013MAI;SERGIPE;ÓLEO DIESEL S-10;m3;5637,4;2023-10-20 14:46:16.368086'
'2013JUN;SERGIPE;ÓLEO DIESEL S-10;m3;5523,9;2023-10-20 14:46:16.368086'
'2013JUL;SERGIPE;ÓLEO DIESEL S-10;m3;5940;2023-10-20 14:46:16.368086'
'2013AGO;SERGIPE;ÓLEO DIESEL S-10;m3;6896,603;2023-10-20 14:46:16.368086'
'2013SET;SERGIPE;ÓLEO DIESEL S-10;m3;7466,738;2023-10-20 14:46:16.368086'
'2013OUT;SERGIPE;ÓLEO DIESEL S-10;m3;8139,3;2023-10-20 14:46:16.368086'
'2013NOV;SERGIPE;ÓLEO DIESEL S-10;m3;8811;2023-10-20 14:46:16.368086'
'2013DEZ;SERGIPE;ÓLEO DIESEL S-10;m3;9882,4;2023-10-20 14:46:16.368086'
'2013JAN;BAHIA;ÓLEO DIESEL S-10;m3;25274,123;2023-10-20 14:46:16.368086'
'2013FEV;BAHIA;ÓLEO DIESEL S-10;m3;24716,294;2023-10-20 14:46:16.368086'
'2013MAR;BAHIA;ÓLEO DIESEL S-10;m3;32029,998;2023-10-20 14:46:16.368086'
'2013ABR;BAHIA;ÓLEO DIESEL S-10;m3;35929,155;2023-10-20 14:46:16.368086'
'2013MAI;BAHIA;ÓLEO DIESEL S-10;m3;37845,172;2023-10-20 14:46:16.368086'
'2013JUN;BAHIA;ÓLEO DIESEL S-10;m3;38125,774;2023-10-20 14:46:16.368086'
'2013JUL;BAHIA;ÓLEO DIESEL S-10;m3;43987,387;2023-10-20 14:46:16.368086'
'2013AGO;BAHIA;ÓLEO DIESEL S-10;m3;48891,535;2023-10-20 14:46:16.368086'
'2013SET;BAHIA;ÓLEO DIESEL S-10;m3;48378,952;2023-10-20 14:46:16.368086'
'2013OUT;BAHIA;ÓLEO DIESEL S-10;m3;54640,601;2023-10-20 14:46:16.368086'
